Thunder @ Warriors - Feb  6 2018 10:30PM,122.29776,116.928,1.0
Thunder @ Warriors - Feb  6 2018 10:30PM,88.49328,38.448,0.0
Thunder @ Warriors - Feb  6 2018 10:30PM,208.90176,24.696,1.0
Thunder @ Warriors - Feb  6 2018 10:30PM,188.57856,-5.688,0.0
Thunder @ Warriors - Feb  6 2018 10:30PM,-122.14512,-158.256,0.0
Thunder @ Warriors - Feb  6 2018 10:30PM,220.69776,169.344,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,124.8,130.752,1.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,159.62544,160.56,1.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,183.42096,4.824,1.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,88.28928,42.768,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,100.34016,156.744,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,93.03792,83.952,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,214.1616,-14.976,1.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,143.6424,145.008,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,208.59552,37.656,1.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,89.31024,61.848,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,-95.02992,75.672,1.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,-137.56608,-10.008,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,-145.94064,152.064,1.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,-129.44688,161.928,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,-203.02992,22.392,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,-191.89824,-74.592,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,-115.81296,117.0,0.0
Warriors @ Nuggets - Feb  3 2018  9:00PM,-63.72768,75.24,1.0
Warriors @ Kings - Feb  2 2018 10:30PM,-191.48976,-169.2,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,-221.92368,168.552,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,-91.5576,-78.696,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,-222.12768,12.888,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,-197.66832,168.48,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,-74.04288,54.0,1.0
Warriors @ Kings - Feb  2 2018 10:30PM,-209.10672,36.216,1.0
Warriors @ Kings - Feb  2 2018 10:30PM,-193.02144,14.328,1.0
Warriors @ Kings - Feb  2 2018 10:30PM,-209.10672,10.08,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,-203.18304,-12.888,1.0
Warriors @ Kings - Feb  2 2018 10:30PM,183.67632,21.024,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,217.22544,-43.848,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,197.46336,167.472,1.0
Warriors @ Kings - Feb  2 2018 10:30PM,109.78704,-154.8,1.0
Warriors @ Kings - Feb  2 2018 10:30PM,74.0424,10.8,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,217.83792,82.152,1.0
Warriors @ Kings - Feb  2 2018 10:30PM,82.77408,54.0,0.0
Warriors @ Kings - Feb  2 2018 10:30PM,216.25488,165.96,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,145.53168,154.8,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,200.27232,51.408,1.0
Warriors @ Jazz - Jan 30 2018  9:00PM,120.0,-126.0,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,220.74864,-29.376,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,155.74464,46.8,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,212.22096,26.856,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,205.53168,-19.44,1.0
Warriors @ Jazz - Jan 30 2018  9:00PM,84.25488,-54.0,1.0
Warriors @ Jazz - Jan 30 2018  9:00PM,176.17008,162.0,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,197.51472,3.024,1.0
Warriors @ Jazz - Jan 30 2018  9:00PM,-188.2728,-24.768,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,-180.61296,-52.848,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,-120.0,-119.808,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,-109.78752,-111.6,0.0
Warriors @ Jazz - Jan 30 2018  9:00PM,-224.22144,160.704,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,172.54464,49.176,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,211.7616,166.104,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,145.6848,-147.312,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,135.7272,-28.224,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,209.05488,27.432,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,156.97008,156.096,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,115.81248,111.096,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,106.62096,103.68,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,165.90624,-63.432,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-11.28528,-150.408,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,138.94464,-161.064,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-162.17904,142.488,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-212.22144,-4.104,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-102.12768,-92.592,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-161.12688,153.2376,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-213.70224,-32.256,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-220.0344,-24.768,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-87.37056,50.904,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-94.92768,-88.2,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-93.29376,26.928,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-141.24288,-24.48,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-196.34064,-63.648,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-122.5536,-121.32,0.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-73.0728,-6.264,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-200.57904,-32.832,1.0
Celtics @ Warriors - Jan 27 2018  8:30PM,-193.68528,21.672,0.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-145.12368,61.776,1.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-99.57456,-72.0,0.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-214.26384,17.064,1.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-80.62992,-82.8,1.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-124.64688,155.592,1.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-209.82144,161.496,1.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-82.00896,66.024,0.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-217.02144,3.6,1.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,-206.85984,9.648,0.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,122.2464,90.504,1.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,101.41248,-118.008,0.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,140.98704,146.808,0.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,79.50624,-25.56,1.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,151.60848,103.32,0.0
Timberwolves @ Warriors - Jan 25 2018 10:30PM,125.71872,126.432,1.0
Knicks @ Warriors - Jan 23 2018 10:30PM,-201.14064,-38.376,0.0
Knicks @ Warriors - Jan 23 2018 10:30PM,-84.25536,32.4,1.0
Knicks @ Warriors - Jan 23 2018 10:30PM,-186.53664,162.288,0.0
Knicks @ Warriors - Jan 23 2018 10:30PM,-218.34912,-160.92,0.0
Knicks @ Warriors - Jan 23 2018 10:30PM,-190.72368,161.856,0.0
Knicks @ Warriors - Jan 23 2018 10:30PM,-122.91072,118.8,0.0
Knicks @ Warriors - Jan 23 2018 10:30PM,-104.68128,-90.0,0.0
Knicks @ Warriors - Jan 23 2018 10:30PM,-186.79152,10.8,0.0
